                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.6063,                 1.4563,                      0,                  1.635,                 1.7218,                      0,                0.33991,                0.48258,                 0.3544,                0.15933,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011932,              0.0011932,              0.0011932
                     39,                 1.5508,                 1.4274,                      0,                 1.6235,                 1.7124,                      0,                0.43981,                0.42876,                0.40146,                0.18999,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011695,              0.0011695,              0.0011695
                     40,                  1.461,                 1.3115,                      0,                 1.5584,                 1.5875,                      0,                0.38156,                0.39923,                0.31803,                0.15699,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011456,              0.0011456,              0.0011456
                     41,                 1.5442,                 1.4087,                      0,                 1.6308,                 1.6479,                      0,                0.36714,                0.40618,                 0.3101,                0.15247,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011213,              0.0011213,              0.0011213
                     42,                 1.4045,                 1.2543,                      0,                 1.5061,                 1.5108,                      0,                0.41549,                0.47463,                0.36154,                0.17047,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010968,              0.0010968,              0.0010968
                     43,                 1.4915,                  1.325,                      0,                 1.5088,                 1.4137,                      0,                0.36959,                0.39937,                 0.3298,                0.16997,                      0,                      0,                      0,                      0,                      0,                      0,               0.001072,               0.001072,               0.001072
                     44,                 1.4812,                 1.2076,                      0,                 1.5695,                 1.3892,                      0,                0.35658,                0.39342,                0.32298,                0.16321,                      0,                      0,                      0,                      0,                      0,                      0,               0.001047,               0.001047,               0.001047
                     45,                 1.4056,                 1.1662,                      0,                 1.5128,                 1.3858,                      0,                 0.3211,                0.43198,                0.32774,                0.15284,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010218,              0.0010218,              0.0010218
                     46,                 1.4161,                 1.1547,                      0,                 1.5281,                 1.3978,                      0,                0.33179,                0.42926,                0.28625,                0.12981,                      0,                      0,                      0,                      0,                      0,                      0,             0.00099646,             0.00099646,             0.00099646
                     47,                 1.4307,                 1.1433,                      0,                 1.5071,                 1.3719,                      0,                0.34485,                0.36317,                0.29884,                0.13606,                      0,                      0,                      0,                      0,                      0,                      0,             0.00097092,             0.00097092,             0.00097092
                     48,                 1.4606,                 1.1947,                      0,                 1.5277,                 1.4532,                      0,                0.42427,                 0.3287,                0.31324,                0.15118,                      0,                      0,                      0,                      0,                      0,                      0,             0.00094526,             0.00094526,             0.00094526
                     49,                 1.4658,                 1.1442,                      0,                  1.475,                 1.3253,                      0,                0.40569,                 0.4081,                 0.3546,                0.18524,                      0,                      0,                      0,                      0,                      0,                      0,             0.00091949,             0.00091949,             0.00091949
                     50,                 1.3951,                 1.1009,                      0,                 1.4553,                 1.2714,                      0,                0.38274,                0.45132,                0.31485,                 0.1617,                      0,                      0,                      0,                      0,                      0,                      0,             0.00089365,             0.00089365,             0.00089365
                     51,                 1.3643,                 1.0873,                      0,                 1.4724,                 1.1994,                      0,                0.47634,                0.39342,                0.34827,                0.17136,                      0,                      0,                      0,                      0,                      0,                      0,             0.00086775,             0.00086775,             0.00086775
                     52,                 1.2957,                0.98682,                      0,                 1.3349,                  1.127,                      0,                0.39058,                0.45864,                0.35691,                 0.1827,                      0,                      0,                      0,                      0,                      0,                      0,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.2795,                 1.0057,                      0,                 1.3578,                  1.164,                      0,                0.38088,                0.43843,                 0.3415,                0.18102,                      0,                      0,                      0,                      0,                      0,                      0,             0.00081592,             0.00081592,             0.00081592
                     54,                 1.3239,                 1.1096,                      0,                 1.3828,                 1.2251,                      0,                0.39733,                0.39994,                0.32115,                 0.1811,                      0,                      0,                      0,                      0,                      0,                      0,             0.00079002,             0.00079002,             0.00079002
                     55,                 1.2547,                0.98689,                      0,                 1.3576,                 1.1424,                      0,                0.43595,                0.41499,                0.35477,                0.19126,                      0,                      0,                      0,                      0,                      0,                      0,             0.00076418,             0.00076418,             0.00076418
                     56,                 1.2953,                 1.0777,                      0,                 1.4043,                 1.2038,                      0,                0.49955,                0.36998,                0.36272,                0.18967,                      0,                      0,                      0,                      0,                      0,                      0,             0.00073841,             0.00073841,             0.00073841
                     57,                 1.2699,                 1.0582,                      0,                  1.357,                  1.177,                      0,                0.42858,                0.41499,                0.34867,                0.18787,                      0,                      0,                      0,                      0,                      0,                      0,             0.00071275,             0.00071275,             0.00071275
                     58,                 1.1749,                0.93141,                      0,                 1.2728,                 1.0428,                      0,                0.44157,                0.41413,                0.34164,                 0.1912,                      0,                      0,                      0,                      0,                      0,                      0,             0.00068721,             0.00068721,             0.00068721
                     59,                 1.1638,                 0.9325,                      0,                 1.2595,                 1.0299,                      0,                0.49551,                0.42109,                0.37851,                0.19959,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066183,             0.00066183,             0.00066183
                     60,                 1.2066,                0.95029,                      0,                  1.302,                  1.038,                      0,                0.60177,                0.40037,                0.39862,                0.20315,                      0,                      0,                      0,                      0,                      0,                      0,             0.00063662,             0.00063662,             0.00063662
                     61,                 1.1573,                  0.879,                      0,                 1.2463,                0.94283,                      0,                0.44406,                0.39234,                0.36668,                0.18938,                      0,                      0,                      0,                      0,                      0,                      0,             0.00061162,             0.00061162,             0.00061162
                     62,                 1.2158,                 0.9309,                      0,                 1.3257,                0.99078,                      0,                0.37203,                0.44734,                0.36841,                0.19471,                      0,                      0,                      0,                      0,                      0,                      0,             0.00058684,             0.00058684,             0.00058684
                     63,                 1.1645,                 0.8408,                      0,                 1.2082,                0.94921,                      0,                0.54146,                0.40503,                0.41076,                0.21305,                      0,                      0,                      0,                      0,                      0,                      0,             0.00056232,             0.00056232,             0.00056232
                     64,                 1.2157,                 1.0164,                      0,                 1.2711,                 1.1469,                      0,                0.47063,                0.45542,                0.40402,                0.20627,                      0,                      0,                      0,                      0,                      0,                      0,             0.00053807,             0.00053807,             0.00053807
                     65,                 1.2554,                0.94514,                      0,                 1.2785,                 1.0557,                      0,                0.36939,                0.36969,                0.31419,                0.16421,                      0,                      0,                      0,                      0,                      0,                      0,             0.00051412,             0.00051412,             0.00051412
                     66,                 1.1582,                0.93562,                      0,                  1.251,                 1.0253,                      0,                0.41812,                 0.4866,                 0.3804,                0.20005,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004905,              0.0004905,              0.0004905
                     67,                  1.138,                0.91678,                      0,                 1.2237,                0.99454,                      0,                0.39842,                0.42603,                 0.3321,                0.17717,                      0,                      0,                      0,                      0,                      0,                      0,             0.00046722,             0.00046722,             0.00046722
                     68,                 1.1306,                0.79319,                      0,                 1.2355,                 0.8658,                      0,                 0.4384,                0.42281,                0.36985,                0.19573,                      0,                      0,                      0,                      0,                      0,                      0,             0.00044431,             0.00044431,             0.00044431
                     69,                 1.0593,                0.79573,                      0,                 1.1321,                0.87933,                      0,                0.40738,                0.36912,                0.34241,                0.18588,                      0,                      0,                      0,                      0,                      0,                      0,             0.00042179,             0.00042179,             0.00042179
                     70,                 1.0183,                0.75409,                      0,                 1.0653,                0.84557,                      0,                0.41188,                0.44757,                0.38853,                 0.1967,                      0,                      0,                      0,                      0,                      0,                      0,             0.00039969,             0.00039969,             0.00039969
                     71,                 1.0716,                0.78497,                      0,                 1.1247,                0.91327,                      0,                0.42506,                0.49925,                0.40094,                0.20708,                      0,                      0,                      0,                      0,                      0,                      0,             0.00037802,             0.00037802,             0.00037802
                     72,                 1.0019,                0.72982,                      0,                 1.0811,                0.80948,                      0,                0.43725,                0.43929,                0.38009,                0.20588,                      0,                      0,                      0,                      0,                      0,                      0,             0.00035682,             0.00035682,             0.00035682
                     73,                 1.0065,                0.73236,                      0,                 1.0744,                0.82308,                      0,                0.49971,                0.44292,                 0.3948,                 0.2043,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033609,             0.00033609,             0.00033609
                     74,                 1.0208,                0.71872,                      0,                 1.0923,                0.77967,                      0,                0.47697,                0.40691,                0.37435,                0.19363,                      0,                      0,                      0,                      0,                      0,                      0,             0.00031586,             0.00031586,             0.00031586
                     75,                0.96499,                0.69975,                      0,                  1.042,                0.77244,                      0,                0.50439,                0.38969,                0.37887,                 0.1962,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029614,             0.00029614,             0.00029614
                     76,                 1.0641,                0.78487,                      0,                 1.0683,                0.78142,                      0,                0.46182,                0.41636,                0.37235,                0.19067,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027697,             0.00027697,             0.00027697
                     77,                  1.008,                0.76092,                      0,                  1.085,                0.86213,                      0,                0.49918,                0.39206,                0.36206,                0.18207,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025836,             0.00025836,             0.00025836
                     78,                0.94939,                0.70414,                      0,                 1.0084,                0.75773,                      0,                0.43517,                0.43128,                0.37365,                0.18386,                      0,                      0,                      0,                      0,                      0,                      0,             0.00024032,             0.00024032,             0.00024032
