epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2641.82,0.86101,0.7289,1.05915,0.60392,0.68877,0.69124,0.42385,1.4582,1.4472,1.52878,0.000712751,0.000712751,0.000712751
57,2688.69,0.82602,0.71741,1.06445,0.65235,0.57591,0.63116,0.37471,1.54474,1.55739,1.56083,0.000687214,0.000687214,0.000687214
58,2735.27,0.84338,0.73119,1.06814,0.55824,0.55578,0.58965,0.3422,1.49102,1.54257,1.50982,0.000661831,0.000661831,0.000661831
59,2781.68,0.79991,0.65323,1.01385,0.67329,0.5571,0.62619,0.37876,1.46276,1.54231,1.45174,0.000636625,0.000636625,0.000636625
60,2828.32,0.84424,0.70622,1.03499,0.66314,0.5377,0.60423,0.3657,1.53451,1.7529,1.50545,0.000611621,0.000611621,0.000611621
61,2874.76,0.73767,0.63714,1.00491,0.67088,0.53471,0.6398,0.39962,1.44408,1.53145,1.51943,0.000586845,0.000586845,0.000586845
62,2921.55,0.7621,0.64123,0.99451,0.6517,0.57864,0.63059,0.40721,1.44487,1.56681,1.50755,0.00056232,0.00056232,0.00056232
63,2968.65,0.79194,0.69028,1.08137,0.60101,0.53603,0.58422,0.35835,1.50046,1.78707,1.49854,0.000538072,0.000538072,0.000538072
64,3015.22,0.76214,0.65862,1.01529,0.55988,0.51547,0.56748,0.34865,1.50682,1.78986,1.52864,0.000514122,0.000514122,0.000514122
65,3061.66,0.81982,0.65754,1.01424,0.576,0.62039,0.64028,0.40874,1.43249,1.51554,1.49275,0.000490497,0.000490497,0.000490497
66,3108.18,0.79687,0.64594,1.01379,0.58819,0.64887,0.66947,0.42141,1.41866,1.39216,1.4947,0.000467218,0.000467218,0.000467218
67,3154.66,0.74013,0.67522,1.02684,0.56762,0.62657,0.64766,0.40198,1.42081,1.44513,1.46915,0.000444309,0.000444309,0.000444309
68,3201.18,0.71969,0.60373,1.0055,0.56328,0.56464,0.60761,0.36856,1.46931,1.62248,1.54122,0.000421792,0.000421792,0.000421792
69,3247.7,0.68886,0.58221,0.97246,0.54776,0.63799,0.61929,0.38566,1.44112,1.50448,1.52249,0.000399689,0.000399689,0.000399689
70,3294.26,0.69674,0.59093,0.9872,0.60383,0.65485,0.63795,0.40036,1.42103,1.44778,1.51076,0.000378023,0.000378023,0.000378023
71,3340.83,0.72052,0.60752,0.99893,0.60613,0.62542,0.62829,0.38395,1.45195,1.46614,1.50314,0.000356815,0.000356815,0.000356815
72,3387.89,0.72717,0.59571,1.00199,0.56822,0.65065,0.6383,0.39735,1.4875,1.52942,1.52582,0.000336086,0.000336086,0.000336086
73,3434.74,0.72064,0.56469,0.9506,0.6429,0.59683,0.65162,0.4107,1.46341,1.43262,1.54702,0.000315855,0.000315855,0.000315855
74,3481.42,0.65926,0.54385,0.96072,0.67413,0.64083,0.67288,0.42371,1.43076,1.3772,1.52584,0.000296144,0.000296144,0.000296144
75,3527.84,0.68331,0.57253,0.98595,0.61358,0.62314,0.65707,0.41931,1.44124,1.41441,1.52806,0.000276971,0.000276971,0.000276971
76,3574.38,0.69925,0.57175,0.98863,0.55655,0.63212,0.63543,0.39657,1.4949,1.56231,1.55914,0.000258355,0.000258355,0.000258355
77,3620.88,0.64899,0.53164,0.94697,0.56836,0.62948,0.62011,0.37784,1.4765,1.64006,1.54446,0.000240316,0.000240316,0.000240316
78,3667.61,0.65709,0.54539,0.97562,0.69363,0.55882,0.64638,0.40274,1.45676,1.50717,1.51035,0.00022287,0.00022287,0.00022287
79,3714.33,0.68907,0.56985,0.99061,0.63624,0.6209,0.64598,0.40913,1.41455,1.5129,1.50174,0.000206034,0.000206034,0.000206034
80,3761.12,0.63505,0.55027,0.95523,0.61487,0.61755,0.64405,0.40725,1.4302,1.50966,1.51844,0.000189827,0.000189827,0.000189827
81,3807.61,0.65737,0.53458,0.95782,0.6089,0.63222,0.6556,0.40903,1.46829,1.49156,1.5286,0.000174262,0.000174262,0.000174262
82,3854.42,0.61054,0.51512,0.96201,0.67603,0.59287,0.67109,0.41797,1.4632,1.52799,1.52023,0.000159357,0.000159357,0.000159357
83,3901.02,0.61335,0.51772,0.9401,0.63497,0.6158,0.67126,0.42415,1.45394,1.56219,1.50224,0.000145125,0.000145125,0.000145125
84,3947.91,0.60525,0.51938,0.94917,0.64661,0.60012,0.66272,0.41608,1.44992,1.57938,1.50328,0.000131581,0.000131581,0.000131581
85,3994.47,0.6181,0.49971,0.95182,0.60632,0.62173,0.66161,0.41603,1.44146,1.52862,1.47714,0.000118737,0.000118737,0.000118737
86,4041.15,0.58162,0.49984,0.93246,0.57994,0.63222,0.66331,0.41688,1.42807,1.51515,1.48452,0.000106608,0.000106608,0.000106608
87,4087.71,0.59307,0.52364,0.95025,0.72561,0.54728,0.66381,0.42535,1.40717,1.49611,1.47858,9.52034e-05,9.52034e-05,9.52034e-05
88,4134.65,0.61027,0.51063,0.94883,0.70227,0.5596,0.67527,0.42931,1.41043,1.48634,1.47791,8.4536e-05,8.4536e-05,8.4536e-05
89,4181.71,0.64358,0.52209,0.96971,0.65505,0.58173,0.66401,0.42136,1.42928,1.48407,1.47997,7.4616e-05,7.4616e-05,7.4616e-05
90,4228.42,0.61452,0.49361,0.92998,0.62302,0.61108,0.65933,0.42036,1.43787,1.53389,1.49167,6.54531e-05,6.54531e-05,6.54531e-05
91,4274.59,0.52806,0.4204,0.88587,0.68599,0.56577,0.65596,0.41599,1.4513,1.53427,1.50929,5.70564e-05,5.70564e-05,5.70564e-05
92,4321.17,0.52226,0.41522,0.87466,0.64138,0.62663,0.66089,0.41405,1.46199,1.56045,1.5307,4.94343e-05,4.94343e-05,4.94343e-05
93,4367.5,0.5551,0.43952,0.89024,0.63955,0.62702,0.66126,0.41104,1.46965,1.58253,1.53912,4.25941e-05,4.25941e-05,4.25941e-05
94,4413.87,0.55162,0.44327,0.8928,0.66287,0.62609,0.6586,0.41154,1.45571,1.5707,1.52927,3.65426e-05,3.65426e-05,3.65426e-05
95,4460.16,0.53565,0.41583,0.87495,0.66124,0.62135,0.6599,0.41312,1.4409,1.5139,1.52604,3.12859e-05,3.12859e-05,3.12859e-05
96,4506.49,0.55384,0.41489,0.86863,0.63851,0.66208,0.66334,0.41656,1.45788,1.50776,1.56734,2.68292e-05,2.68292e-05,2.68292e-05
97,4552.66,0.52147,0.41614,0.88625,0.65298,0.62135,0.65746,0.41625,1.43444,1.48734,1.51694,2.31767e-05,2.31767e-05,2.31767e-05
98,4598.94,0.49119,0.39497,0.87291,0.64199,0.65121,0.66103,0.41512,1.43394,1.495,1.5263,2.03321e-05,2.03321e-05,2.03321e-05
99,4645.12,0.52614,0.40418,0.85836,0.63148,0.66387,0.66261,0.41661,1.43378,1.46965,1.51749,1.82983e-05,1.82983e-05,1.82983e-05
100,4691.28,0.49487,0.3882,0.85968,0.66357,0.64418,0.66242,0.41725,1.42029,1.46141,1.51611,1.70772e-05,1.70772e-05,1.70772e-05
