epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,4202.17,1.99791,2.51965,2.09241,0.1609,0.28792,0.12336,0.04709,2.0175,2.56245,2.15595,0.000106608,0.000106608,0.000106608
87,4250.33,1.99418,2.49853,2.07448,0.14583,0.29414,0.13319,0.05084,2.01086,2.55343,2.14528,9.52034e-05,9.52034e-05,9.52034e-05
88,4298.64,1.97534,2.50123,2.04114,0.15447,0.29114,0.13981,0.05305,2.01048,2.55053,2.14312,8.4536e-05,8.4536e-05,8.4536e-05
89,4347.24,2.03563,2.55396,2.05722,0.17074,0.28928,0.14599,0.05738,2.00609,2.55116,2.14909,7.4616e-05,7.4616e-05,7.4616e-05
90,4395.6,1.9814,2.45769,2.07072,0.15533,0.2657,0.1529,0.06051,1.98748,2.54988,2.13987,6.54531e-05,6.54531e-05,6.54531e-05
91,4443.64,1.94691,2.51061,1.95846,0.16847,0.26039,0.1469,0.05668,1.96878,2.55083,2.14051,5.70564e-05,5.70564e-05,5.70564e-05
92,4491.74,1.92536,2.45113,1.99217,0.17116,0.26498,0.14372,0.05439,1.96382,2.55339,2.14537,4.94343e-05,4.94343e-05,4.94343e-05
93,4539.62,1.97906,2.44074,1.95036,0.16912,0.28792,0.14137,0.05559,1.95936,2.56646,2.14196,4.25941e-05,4.25941e-05,4.25941e-05
94,4587.45,1.92252,2.44511,1.97807,0.16295,0.28674,0.14411,0.05558,1.96364,2.56551,2.13718,3.65426e-05,3.65426e-05,3.65426e-05
95,4635.28,1.9628,2.49829,1.98534,0.15856,0.27415,0.1339,0.05454,1.96332,2.56163,2.13502,3.12859e-05,3.12859e-05,3.12859e-05
96,4683.09,1.96722,2.45153,1.97587,0.15527,0.30626,0.12987,0.05229,1.96475,2.56293,2.13582,2.68292e-05,2.68292e-05,2.68292e-05
97,4730.81,1.95746,2.51306,1.96866,0.14925,0.2925,0.12645,0.05084,1.96464,2.55768,2.13703,2.31767e-05,2.31767e-05,2.31767e-05
98,4778.54,1.9536,2.50716,1.95083,0.15754,0.29709,0.12298,0.04988,1.96826,2.55523,2.13832,2.03321e-05,2.03321e-05,2.03321e-05
99,4826.27,1.949,2.41919,1.97693,0.15235,0.2925,0.12044,0.04725,1.97071,2.55424,2.14007,1.82983e-05,1.82983e-05,1.82983e-05
100,4873.96,1.91452,2.45067,1.91747,0.15928,0.28333,0.12631,0.04986,1.9671,2.55592,2.13956,1.70772e-05,1.70772e-05,1.70772e-05
